,Year,Ownership,Ownershippc,Deathrate
0,2020,14.83,0.1483,
1,2019,14.95,0.1495,0.15
2,2018,15.12,0.1512,0.12
3,2017,15.02,0.1502,0.1
4,2016,14.8,0.14800000000000002,0.18
5,2015,14.51,0.1451,0.11
6,2014,13.99,0.1399,0.18
7,2012,13.67,0.1367,0.18
8,2011,13.6,0.136,0.14
9,2010,13.68,0.1368,0.18
10,2007,13.25,0.1325,0.13
11,2006,14.24,0.1424,0.2
12,2005,15.0,0.15,0.09
13,1997,13.58,0.1358,0.43
14,1996,17.59,0.1759,0.57
15,1988,21.34,0.2134,0.74
16,1975,14.92,0.1492,
17,2013,,,0.17
18,2009,,,0.17
19,2008,,,0.13
20,2004,,,0.09
21,2003,,,0.27
22,2002,,,0.23
23,2001,,,0.24
24,2000,,,0.3
25,1999,,,0.26
26,1998,,,0.3
27,1995,,,0.37
28,1994,,,0.43
29,1993,,,0.36
30,1992,,,0.55
31,1991,,,0.49
32,1990,,,0.46
33,1989,,,0.48
